record_id,owner_id,taxpayer_type,owner_name,tin,mailing_address,mailing_city,mailing_province,property_id,pin,tax_declaration_no,province,city_municipality,barangay,property_address,property_type,class_code,zoning_classification,land_use,lot_number,unit_no,lot_area_sqm,market_value,assessment_level,assessed_value,tax_rate,tax_amount,assessment_year,due_date,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment
9,1359,Company,AgriNova Farms Enterprises,459-477-213-000,"123 Lacson St, Matina Pangi, City of Davao",City of Davao,Davao Del Sur,5,11-000-000-000005,TD-11-2024-000005,Davao Del Sur,CITY OF DIGOS,Soong,"576 Maa Road, Soong, City of Digos",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-00005,N/A,292,3249602.0,0.5,1624801.0,0.0145,23559.61,2023,2023-03-31,7,6,1,1,33.1,10167.79,66.26,0
1581,417,Individual,Danica I. Mendoza,517-651-619-000,"174 Diversion Road, Barangay 40-D (Pob.), City of Davao",City of Davao,Davao Del Sur,791,11-000-000-000791,TD-11-2024-000791,Davao Del Norte,Island Garden City of Samal,Limao,"817 Cabaguio Ave, Limao, Island Garden City of Samal",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-00791,N/A,632,6948462.09,0.5,3474231.04,0.0138,47944.39,2021,2021-03-31,11,8,2,1,44.6,35123.77,40.09,1
545,92,Individual,Rafael I. Gonzales,192-676-344-000,"322 Lacson St, Aumbay, Island Garden City of Samal",Island Garden City of Samal,Davao Del Norte,273,11-000-000-000273,TD-11-2024-000273,Davao Del Sur,City of Davao,Sirawan,"349 Matina Aplaya Road, Sirawan, City of Davao",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-00273,N/A,1839,2229071.72,0.4,891628.69,0.013,11591.17,2021,2021-09-30,4,3,1,0,13.4,1286.32,90.13,0
4887,1506,Company,Apo Township Enterprises,606-918-242-000,"82 Cabaguio Ave, Abnate, Kiblawan",Kiblawan,Davao Del Sur,2444,11-000-000-002444,TD-11-2024-002444,Davao Del Norte,City of Tagum,Bincungan,"9 Lanang Road, Bincungan, City of Tagum",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-02444,N/A,265,3078049.94,0.5,1539024.97,0.0164,25240.01,2023,2023-12-31,12,8,2,1,36.2,13495.0,60.17,0
3942,711,Individual,Paolo B. Carreon,811-533-677-000,"621 Quimpo Blvd, Kimlawis, Kiblawan",Kiblawan,Davao Del Sur,1971,11-000-000-001971,TD-11-2024-001971,Davao Del Sur,City of Davao,Barangay 24-C (Pob.),"81 Bonifacio St, Barangay 24-C (Pob.), City of Davao",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-01971,N/A,4566,6352728.84,0.4,2541091.54,0.0118,29984.88,2022,2022-06-30,16,8,4,1,85.9,22502.74,6.83,1
2313,680,Company,matina developers co.,780-440-460-000,"341 McArthur Highway, Mayo, City of Mati",City of Mati,Davao Oriental,1157,11-000-000-001157,TD-11-2024-001157,Davao Del Sur,City of Davao,Lumiad,"714 McArthur Highway, Lumiad, City of Davao",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-01157,N/A,119,851880.76,0.2,170376.15,0.0133,2266.0,2022,2022-12-31,10,8,4,2,99.4,2750.21,5.0,1
3407,230,Individual,Nathan Y. Rosales,330-090-310-000,"508 Matina Aplaya Road, Towak, Matanao",Matanao,Davao Del Sur,1704,11-000-000-001704,TD-11-2024-001704,Davao Del Sur,City of Davao,Barangay 2-A (Pob.),"742 Quimpo Blvd, Barangay 2-A (Pob.), City of Davao",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-01704,N/A,306,3017906.25,0.2,603581.25,0.0107,6458.32,2023,2023-12-31,5,5,2,1,53.1,4580.82,45.07,1
1504,206,Company,Malagos Properties Inc.,306-018-142-000,"572 Bonifacio St, Barangay 28-C (Pob.), City of Davao",City of Davao,Davao Del Sur,752,11-000-000-000752,TD/11/2024/000752,Davao De Oro,Maragusan,Mahayahay,"748 Torres St, Mahayahay, Maragusan",Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,LOT-00752,N/A,316,3675234.77,0.45,1653855.65,0.0159,26296.3,2024,2024-03-31,17,8,3,1,56.4,18204.69,48.46,0
168,63,Individual,Adrian J. Salazar,163-589-141-000,"437 Torres St, Kidawa, Laak",Laak,Davao De Oro,84,11-000-000-000084,TD-11-2024-000084,Davao Del Norte,Carmen,Taba,"453 Maa Road, Taba, Carmen",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-00084,N/A,227,1165457.51,0.2,233091.5,0.0132,3076.81,2022,2022-09-30,4,4,3,1,81.9,2571.17,20.5,1
347,519,Company,Tagum Township Enterprises,619-957-333-000,"182 Torres St, San Roque, Santa Maria",Santa Maria,Davao Occidental,174,11-000-000-000174,TD-11-2024-000174,Davao De Oro,Laak,Kaligutan,"Lot 164, Purok 7, Kaligutan, Laak",Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,LOT-00174,N/A,1116,4850375.64,0.4,1940150.26,0.0155,30072.33,2022,2022-03-31,6,7,4,2,95.1,36432.62,5.0,1
4480,1567,Individual,Therese H. Villanueva,667-101-669-000,"839 Diversion Road, Lumatab, Maco",Maco,Davao De Oro,2240,11-000-000-002240,TD-11-2024-002240,Davao Del Sur,City of Digos,Aplaya,"545 Bajada Road, Aplaya, City of Digos",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-02240,N/A,180,1632991.12,0.2,326598.22,0.0112,3657.9,2023,2023-12-31,16,8,3,1,44.9,3035.15,31.92,1
1748,1578,Individual,Mikaela N. Aquino,678-134-746-000," 623 Maa Road, Osmeña, Sulop  ",Sulop,Davao Del Sur,874,11-000-000-000874,TD-11-2024-000874,Davao De Oro,Laak,Mabuhay,"Lot 46, Purok 3, Mabuhay, Laak",Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,LOT-00874,N/A,454,834120.73,0.2,166824.15,0.0123,2051.94,2024,2024-09-30,16,8,1,0,17.9,538.17,95.66,0
1719,1406,Individual,Shaira A. Pascual,506-618-542-000,"332 Maa Road, Lagab, Compostela",Compostela,Davao De Oro,860,11-000-000-000860,TD-11-2024-000860,Davao Occidental,Santa Maria,  Santo Rosario ,"613 Torres St, Santo Rosario, Santa Maria",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-00860,N/A,2460,1184310.87,0.4,473724.35,0.0129,6111.04,2022,2022-09-30,8,8,3,1,81.9,4559.9,23.36,1
3931,1521,Individual,Angel W. Luna,621-963-347-000,"829 Diversion Road, San Antonio, Caraga",Caraga,Davao Oriental,1966,11-000-000-001966,TD-11-2024-001966,Davao Del Sur,City of Davao,Angalan,"152 J.P. Laurel Ave, Angalan, City of Davao",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-01966,N/A,194,1147585.06,0.2,229517.01,0.0138,3167.33,2021,2021-12-31,9,8,1,0,16.5,479.55,86.2,0
4024,1845,Individual,Mikaela I. Galang,945-935-615-000,"200 Agdao Road, Concepcion, Manay",Manay,Davao Oriental,2012,11-000-000-002012,TD-11-2024-002012,Davao Del Sur,City of Davao,Santo Niño,"878 Matina Aplaya Road, Santo Niño, City of Davao",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-02012,N/A,420,12026221.67,0.5,6013110.83,0.0162,97412.4,2024,2024-03-31,4,3,2,1,71.1,50095.44,18.39,1
4699,504,Individual,Dominic T. Mendoza,604-912-228-000,"151 Diversion Road, San Jose, Compostela",Compostela,Davao De Oro,2350,11-000-000-002350,TD-11-2024-002350,Davao Del Sur,City of Davao,Manuel Guianga,"729 Maa Road, Manuel Guianga, City of Davao",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-02350,N/A,300,2666415.63,0.2,533283.13,0.0139,7412.64,2022,2022-03-31,11,8,4,2,98.8,8553.16,5.0,1
2343,411,Company,Lanang Logistics Corp.,511-633-577-000,"800 Matina Aplaya Road, Barangay 9-A (Pob.), City of Davao",City of Davao,Davao Del Sur,1172,11-000-000-001172,TD-11-2024-001172,Davao Del Norte,Island Garden City of Samal,Tagbitan-ag,"955 Diversion Road, Tagbitan-ag, Island Garden City of Samal",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-01172,N/A,337,5023672.95,0.5,2511836.48,0.0131,32905.06,2023,12/31/2023,12,8,3,1,45.7,27169.55,44.64,1
2269,799,Company,Durian Industrial Park Enterprises,899-797-293-000,"329 Quimpo Blvd, Barangay 1-A (Pob.), City of Davao",City of Davao,Davao Del Sur,1135,11-000-000-001135,TD-11-2024-001135,Davao Occidental,Jose Abad Santos,Tabayon,"757 Catalunan Grande Road, Tabayon, Jose Abad Santos",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-01135,N/A,204,2231969.59,0.5,1115984.79,0.0163,18190.55,2022,2022-06-30,5,4,1,0,11.9,2957.06,86.32,0
